"Taxon","Institution","Museum No.","Island","Taxon-Island","New_Taxonomy","New_Taxonomy_Island","Sex","Wing","Tail","Blength","Bdepth","Bwidth","Tarsus"
"G. conirostris","Rotheschild Mus.",1916,"Darwin","conirostrisDarwin","G. propinqua","propinquaDarwin","Male",78.2,46,19.5,14,11,25.2
"G. conirostris","Rotheschild Mus.",1918,"Darwin","conirostrisDarwin","G. propinqua","propinquaDarwin","Male",81.5,53,22.2,17.2,13.5,26.5
"G. conirostris","Rotheschild Mus.",1931,"Darwin","conirostrisDarwin","G. propinqua","propinquaDarwin","Male",81,49.5,21.2,16.2,12.2,23.5
"G. conirostris","Rotheschild Mus.",NA,"Darwin","conirostrisDarwin","G. propinqua","propinquaDarwin","Male",78,48.8,20,14.2,11,25.2
"G. conirostris","Rotheschild Mus.",1930,"Darwin","conirostrisDarwin","G. propinqua","propinquaDarwin","Male",84,53.2,22.2,19.5,14,24.5
"G. conirostris","Rotheschild Mus.",157,"Darwin","conirostrisDarwin","G. propinqua","propinquaDarwin","Male",82,50,22.8,19.5,14,25.5
"G. conirostris","Harris",104,"Darwin","conirostrisDarwin","G. propinqua","propinquaDarwin","Male",82,50.5,22.5,17,13.8,25.5
"G. conirostris","G. W. Hull",105,"Darwin","conirostrisDarwin","G. propinqua","propinquaDarwin","Male",78.2,47,21.2,15.2,11.5,24.5
"G. conirostris","Rotheschild Mus.",160,"Darwin","conirostrisDarwin","G. propinqua","propinquaDarwin","Male",80.5,48.5,20.8,17,12.5,25
"G. conirostris","Rotheschild Mus.",159,"Darwin","conirostrisDarwin","G. propinqua","propinquaDarwin","Male",81.5,50.5,21,18,13.2,25.5
"G. magnirostris","CAS",37920,"Genovesa","magnirostrisGenovesa","G. magnirostris","magnirostrisGenovesa","Male",86.5,54.5,26,23,17,25.5
"G. magnirostris","CAS",37919,"Genovesa","magnirostrisGenovesa","G. magnirostris","magnirostrisGenovesa","Male",84,52,23.2,20,15.5,25
"G. magnirostris","CAS",37921,"Genovesa","magnirostrisGenovesa","G. magnirostris","magnirostrisGenovesa","Male",83.2,57.5,25,22,17,26
"G. magnirostris","CAS",37925,"Santiago","magnirostrisSantiago","G. magnirostris","magnirostrisSantiago","Male",80.5,46,22,20,15.2,26
"G. magnirostris","CAS",37932,"Santiago","magnirostrisSantiago","G. magnirostris","magnirostrisSantiago","Male",78.5,47,23.5,21.2,16,26.5
"G. magnirostris","CAS",5105,"Santa Cruz","magnirostrisSanta Cruz","G. magnirostris","magnirostrisSanta Cruz","Male",81.2,50.5,22.5,20.5,15.5,25
"G. magnirostris","CAS",5316,"Santa Cruz","magnirostrisSanta Cruz","G. magnirostris","magnirostrisSanta Cruz","Male",83.5,49.5,22.5,21,16,24.5
"G. magnirostris","CAS",5112,"Santa Cruz","magnirostrisSanta Cruz","G. magnirostris","magnirostrisSanta Cruz","Male",81,50.5,21.5,21,16.5,24
"G. magnirostris","CAS",5153,"Santa Cruz","magnirostrisSanta Cruz","G. magnirostris","magnirostrisSanta Cruz","Male",78,53.5,21.5,19.8,16,25
"G. magnirostris","CAS",5550,"Santa Cruz","magnirostrisSanta Cruz","G. magnirostris","magnirostrisSanta Cruz","Male",74,44,20.5,17.2,12.5,23
"G. magnirostris","CAS",5319,"Darwin","magnirostrisDarwin","G. magnirostris","magnirostrisDarwin","Male",85,52.2,21.5,18.2,14,25.5
"G. magnirostris","CAS",5327,"Darwin","magnirostrisDarwin","G. magnirostris","magnirostrisDarwin","Male",85.5,54.5,22,17.5,13.5,26
"G. magnirostris","CAS",5157,"Darwin","magnirostrisDarwin","G. magnirostris","magnirostrisDarwin","Male",80.2,51.5,23,18.8,14.2,26
"G. magnirostris","CAS",5318,"Wolf","magnirostrisWolf","G. magnirostris","magnirostrisWolf","Male",84,52.5,23,20,14.5,26
"G. magnirostris","CAS",5323,"Wolf","magnirostrisWolf","G. magnirostris","magnirostrisWolf","Male",85,53,24,20,15,25.5
"G. magnirostris","CAS",5155,"Marchena","magnirostrisMarchena","G. magnirostris","magnirostrisMarchena","Male",78,47.5,21.8,18.8,14.8,26
"G. magnirostris","CAS",5102,"Marchena","magnirostrisMarchena","G. magnirostris","magnirostrisMarchena","Male",78,48,21,18.2,14,23
"G. magnirostris","Stanford University",1254,"Marchena","magnirostrisMarchena","G. magnirostris","magnirostrisMarchena","Male",81,48.5,22.2,20.8,15.5,24.5
"G. magnirostris","Stanford University",1530,"Marchena","magnirostrisMarchena","G. magnirostris","magnirostrisMarchena","Male",80.2,51,22.2,18.2,14,23
"G. magnirostris","Stanford University",1162,"Pinta","magnirostrisPinta","G. magnirostris","magnirostrisPinta","Male",79,45.2,22,19,14.5,25.5
"G. magnirostris","Stanford University",1400,"Pinta","magnirostrisPinta","G. magnirostris","magnirostrisPinta","Male",81,42,21,20,15.2,24.5
"G. magnirostris","Stanford University",1261,"Pinta","magnirostrisPinta","G. magnirostris","magnirostrisPinta","Male",80,47.5,22.5,20.5,15,25.2
"G. magnirostris","Stanford University",1110,"Pinta","magnirostrisPinta","G. magnirostris","magnirostrisPinta","Male",78,49,22.5,19.5,15,26
"G. magnirostris","CAS",5322,"Pinta","magnirostrisPinta","G. magnirostris","magnirostrisPinta","Male",81.2,51,21,19.2,15.2,23.5
"G. magnirostris","CAS",5137,"Pinta","magnirostrisPinta","G. magnirostris","magnirostrisPinta","Male",77,49,23.5,20.2,15.5,25
"G. magnirostris","CAS",5123,"Pinta","magnirostrisPinta","G. magnirostris","magnirostrisPinta","Male",80,50.5,21.2,20,15,24.2
"G. magnirostris","CAS",5124,"Pinta","magnirostrisPinta","G. magnirostris","magnirostrisPinta","Male",79.5,52,22.5,21,16.5,25
"G. magnirostris","CAS",5134,"Pinta","magnirostrisPinta","G. magnirostris","magnirostrisPinta","Male",81.2,50.5,23,20,14.5,25.5
"G. magnirostris","CAS",5141,"Pinta","magnirostrisPinta","G. magnirostris","magnirostrisPinta","Male",83,52.2,23,22,16.2,25
"G. magnirostris","CAS",5324,"Santiago","magnirostrisSantiago","G. magnirostris","magnirostrisSantiago","Male",84.5,51.5,24,20,14.5,26
"G. magnirostris","CAS",5321,"Santiago","magnirostrisSantiago","G. magnirostris","magnirostrisSantiago","Male",85.5,53.5,21,20,15,24
"G. magnirostris","CAS",5099,"Santiago","magnirostrisSantiago","G. magnirostris","magnirostrisSantiago","Male",81,48,22.5,21,16.2,25
"G. magnirostris","CAS",5110,"Santiago","magnirostrisSantiago","G. magnirostris","magnirostrisSantiago","Male",82,47.8,22,22,16.2,24.5
"G. magnirostris","CAS",5315,"Santiago","magnirostrisSantiago","G. magnirostris","magnirostrisSantiago","Male",82.2,50,23,21,16.2,25
"G. magnirostris","CAS",5313,"Santiago","magnirostrisSantiago","G. magnirostris","magnirostrisSantiago","Male",81.8,51.2,22,21.2,15.5,26
"G. magnirostris","CAS",5111,"Santiago","magnirostrisSantiago","G. magnirostris","magnirostrisSantiago","Male",81,47,22.5,22,16,25
"G. magnirostris","CAS",5311,"Santiago","magnirostrisSantiago","G. magnirostris","magnirostrisSantiago","Male",83.5,51.5,23,22,15,24.5
"G. magnirostris","CAS",5109,"Santiago","magnirostrisSantiago","G. magnirostris","magnirostrisSantiago","Male",78.5,49.5,23,21.2,15.2,25
"G. magnirostris","CAS",5104,"Santiago","magnirostrisSantiago","G. magnirostris","magnirostrisSantiago","Male",83,50,24,22,16.2,25.2
"G. magnirostris","CAS",5320,"Rabida","magnirostrisRabida","G. magnirostris","magnirostrisRabida","Male",83,51.5,22.2,19.2,14,24
"G. magnirostris","CAS",5329,"Rabida","magnirostrisRabida","G. magnirostris","magnirostrisRabida","Male",80,48.5,21.5,18.5,14,24
"G. magnirostris","CAS",5332,"Rabida","magnirostrisRabida","G. magnirostris","magnirostrisRabida","Male",83.5,52.5,20.2,17.5,13.5,23.5
"G. magnirostris","CAS",5333,"Rabida","magnirostrisRabida","G. magnirostris","magnirostrisRabida","Male",77.5,48,20.8,18,13,24
"G. magnirostris","CAS",5325,"Rabida","magnirostrisRabida","G. magnirostris","magnirostrisRabida","Male",80,51,21.5,17.2,13.5,24
"G. magnirostris","CAS",5331,"Rabida","magnirostrisRabida","G. magnirostris","magnirostrisRabida","Male",81.2,50,20,18.5,14,23.5
"G. magnirostris","CAS",5334,"Rabida","magnirostrisRabida","G. magnirostris","magnirostrisRabida","Male",81,54,21,18,14,23.5
"G. magnirostris","CAS",5328,"Rabida","magnirostrisRabida","G. magnirostris","magnirostrisRabida","Male",81,50.5,21,18,14,23.5
"G. magnirostris","CAS",5330,"Rabida","magnirostrisRabida","G. magnirostris","magnirostrisRabida","Male",83,51,21.5,20,14,24.5
"G. magnirostris","CAS",5337,"Rabida","magnirostrisRabida","G. magnirostris","magnirostrisRabida","Male",77,48,19,17,12.5,21
"G. fortis","Stanford University",5073,"Pinta","fortisPinta","G. fortis","fortisPinta","Male",64.5,37,16,11,9,20.2
"G. fortis","Stanford University",5203,"Pinta","fortisPinta","G. fortis","fortisPinta","Male",64.8,42,17,12,10,20.5
"G. fortis","CAS",5409,"Pinta","fortisPinta","G. fortis","fortisPinta","Male",71,44.5,16.5,12.5,10.5,21.5
"G. fortis","CAS",5181,"Pinta","fortisPinta","G. fortis","fortisPinta","Male",62,39.5,15,10.2,8.5,19
"G. fortis","CAS",5184,"Pinta","fortisPinta","G. fortis","fortisPinta","Male",61,37.5,15.2,11,9,19.2
"G. fortis","CAS",5183,"Pinta","fortisPinta","G. fortis","fortisPinta","Male",65.5,40.2,15,11.5,9.5,19.8
