Taxon,Institution,Museum No.,Island,Taxon-Island,New_Taxonomy,New_Taxonomy_Island,Sex,Wing,Tail,Blength,Gonys,Bdepth,Bwidth,Tarsus,MiddleToe
conirostris,Rotheschild Mus.,1916,Darwin,conirostrisDarwin,propinqua,propinquaDarwin,Male,78.2,46,19.5,,14,11,25.2,22
conirostris,Rotheschild Mus.,1918,Darwin,conirostrisDarwin,propinqua,propinquaDarwin,Male,81.5,53,22.2,,17.2,13.5,26.5,23
conirostris,Rotheschild Mus.,1931,Darwin,conirostrisDarwin,propinqua,propinquaDarwin,Male,81,49.5,21.2,,16.2,12.2,23.5,21.5
conirostris,Rotheschild Mus.,,Darwin,conirostrisDarwin,propinqua,propinquaDarwin,Male,78,48.8,20,,14.2,11,25.2,22.5
conirostris,Rotheschild Mus.,1930,Darwin,conirostrisDarwin,propinqua,propinquaDarwin,Male,84,53.2,22.2,,19.5,14,24.5,24
conirostris,Rotheschild Mus.,157,Darwin,conirostrisDarwin,propinqua,propinquaDarwin,Male,82,50,22.8,,19.5,14,25.5,22
conirostris,Harris,104,Darwin,conirostrisDarwin,propinqua,propinquaDarwin,Male,82,50.5,22.5,,17,13.8,25.5,19.8
conirostris,G. W. Hull,105,Darwin,conirostrisDarwin,propinqua,propinquaDarwin,Male,78.2,47,21.2,,15.2,11.5,24.5,20.2
conirostris,Rotheschild Mus.,160,Darwin,conirostrisDarwin,propinqua,propinquaDarwin,Male,80.5,48.5,20.8,,17,12.5,25,22
conirostris,Rotheschild Mus.,159,Darwin,conirostrisDarwin,propinqua,propinquaDarwin,Male,81.5,50.5,21,,18,13.2,25.5,20.2
magnirostris,CAS,37920,Genovesa,magnirostrisGenovesa,magnirostris,magnirostrisGenovesa,Male,86.5,54.5,26,13.2,23,17,25.5,23.5
magnirostris,CAS,37919,Genovesa,magnirostrisGenovesa,magnirostris,magnirostrisGenovesa,Male,84,52,23.2,12,20,15.5,25,22.5
magnirostris,CAS,37921,Genovesa,magnirostrisGenovesa,magnirostris,magnirostrisGenovesa,Male,83.2,57.5,25,13.2,22,17,26,23.5
magnirostris,CAS,37917,Genovesa,magnirostrisGenovesa,magnirostris,magnirostrisGenovesa,Male,81,,25,12,22,16,25,23
magnirostris,CAS,37925,Santiago,magnirostrisSantiago,magnirostris,magnirostrisSantiago,Male,80.5,46,22,12,20,15.2,26,22
magnirostris,CAS,37932,Santiago,magnirostrisSantiago,magnirostris,magnirostrisSantiago,Male,78.5,47,23.5,12.5,21.2,16,26.5,22.5
magnirostris,CAS,5105,Santa Cruz,magnirostrisSanta Cruz,magnirostris,magnirostrisSanta Cruz,Male,81.2,50.5,22.5,12.2,20.5,15.5,25,20.5
magnirostris,CAS,5316,Santa Cruz,magnirostrisSanta Cruz,magnirostris,magnirostrisSanta Cruz,Male,83.5,49.5,22.5,11.5,21,16,24.5,22.5
magnirostris,CAS,5112,Santa Cruz,magnirostrisSanta Cruz,magnirostris,magnirostrisSanta Cruz,Male,81,50.5,21.5,12,21,16.5,24,21.5
magnirostris,CAS,5153,Santa Cruz,magnirostrisSanta Cruz,magnirostris,magnirostrisSanta Cruz,Male,78,53.5,21.5,12,19.8,16,25,22
magnirostris,CAS,5550,Santa Cruz,magnirostrisSanta Cruz,magnirostris,magnirostrisSanta Cruz,Male,74,44,20.5,11,17.2,12.5,23,20.8
magnirostris,CAS,5319,Darwin,magnirostrisDarwin,magnirostris,magnirostrisDarwin,Male,85,52.2,21.5,12,18.2,14,25.5,23
magnirostris,CAS,5327,Darwin,magnirostrisDarwin,magnirostris,magnirostrisDarwin,Male,85.5,54.5,22,12,17.5,13.5,26,21.5
magnirostris,CAS,5157,Darwin,magnirostrisDarwin,magnirostris,magnirostrisDarwin,Male,80.2,51.5,23,12.2,18.8,14.2,26,23
magnirostris,CAS,5318,Wolf,magnirostrisWolf,magnirostris,magnirostrisWolf,Male,84,52.5,23,12.5,20,14.5,26,23.5
magnirostris,CAS,5323,Wolf,magnirostrisWolf,magnirostris,magnirostrisWolf,Male,85,53,24,13,20,15,25.5,24
magnirostris,CAS,5155,Marchena,magnirostrisMarchena,magnirostris,magnirostrisMarchena,Male,78,47.5,21.8,12,18.8,14.8,26,21.5
magnirostris,CAS,5102,Marchena,magnirostrisMarchena,magnirostris,magnirostrisMarchena,Male,78,48,21,11,18.2,14,23,20.5
magnirostris,Stanford University,1254,Marchena,magnirostrisMarchena,magnirostris,magnirostrisMarchena,Male,81,48.5,22.2,12,20.8,15.5,24.5,21
